Elapsed Time (secs) , euler x , euler y , euler z , quat x , quat y , quat z , quat w
0,-1.54,-0.23,1.33,0.01163208,-0.01346099,-0.00185084,0.99984


0,-1.37,0.01,4.62,0.04030226,-0.01194199,0.0005690586,0.999116


0,-1.33,0.01,4.36,0.03803543,-0.01159446,0.0005286849,0.999209


0,-1.3,0.01,4.18,0.03646595,-0.01133367,0.0005009249,0.9992704


0,-1.23,0.02,4.07,0.03550607,-0.0107206,0.0005555617,0.9993119


0,-1.22,0.01,3.93,0.03428613,-0.01063706,0.0004522614,0.9993553


0,-1.24,0.01,3.85,0.03358836,-0.01081179,0.0004506975,0.9993772


0,-1.24,0.01,3.82,0.03332672,-0.01081191,0.000447867,0.999386


0,-1.22,0,3.75,0.03271723,-0.01064061,0.0003483374,0.9994079


0,-1.23,0,3.65,0.03184504,-0.01072813,0.0003418307,0.9994352


0,-1.25,0,3.76,0.03280435,-0.01090222,0.0003578542,0.9994023


0,-1.26,-0.01,3.92,0.03420068,-0.0109919,0.0002888505,0.9993545


0,-1.25,-0.01,3.98,0.03472396,-0.01090454,0.0002915757,0.9993374


0,-1.23,-0.03,3.44,0.03001623,-0.01073659,6.050337E-05,0.9994918


0,-1.19,-0.11,0.89,0.007776183,-0.01039166,-0.0008791974,0.9999154


0,-1.01,-0.34,-7.72,-0.06728975,-0.008594035,-0.003553541,0.9976901


0,-0.98,-0.38,-9.16,-0.07981935,-0.008259868,-0.003988292,0.9967671


0,-0.93,-0.45,-12.27,-0.1068354,-0.007649482,-0.004771691,0.9942358


0,-0.89,-0.49,-14.58,-0.1268536,-0.007161209,-0.005226862,0.9918818


0,-0.86,-0.54,-16.63,-0.1445746,-0.006744411,-0.005748007,0.9894543


0,-0.85,-0.56,-17.84,-0.1550133,-0.006570066,-0.005977788,0.9878724


0,-0.82,-0.56,-17.95,-0.1559631,-0.006305738,-0.005943261,0.9877248


0,-0.87,-0.56,-18.07,-0.1569947,-0.006730415,-0.006018363,0.9875581


0,-0.89,-0.57,-18.12,-0.1574239,-0.006886393,-0.006134949,0.987488


0,-0.91,-0.55,-17.56,-0.1525966,-0.00711542,-0.005955376,0.988245


0,-0.97,-0.43,-13.1,-0.1140338,-0.007981407,-0.004693391,0.9934337


0,-1.1,-0.17,-2.65,-0.02310823,-0.009562285,-0.001705031,0.9996858


0,-1.18,-0.12,-0.69,-0.006010244,-0.01029076,-0.001109126,0.9999284


0,-1.2,-0.07,1.24,0.01082663,-0.01047778,-0.0004974825,0.9998864


0,-1.19,0.02,4.29,0.03742474,-0.01037071,0.0005630791,0.9992455


0,-1.21,0.12,7.86,0.06852279,-0.01046244,0.001768369,0.9975932


0,-1.22,0.16,9.26,0.08070137,-0.01049886,0.002251006,0.9966805


0,-1.28,0.29,14.13,0.1229592,-0.01077378,0.00388519,0.9923456


0,-1.33,0.33,16.32,0.1418947,-0.0110799,0.004497791,0.9898095


0,-1.34,0.21,19.01,0.165101,-0.01123028,0.003738289,0.9862057


0,-1.34,0.23,19.84,0.1722377,-0.01117284,0.003991444,0.9849839


0,-1.34,0.24,19.99,0.1735259,-0.01115246,0.004092001,0.9847577


0,-1.34,0.24,20.03,0.1738696,-0.01115103,0.004095894,0.984697


0,-1.18,0.42,18.11,0.1573358,-0.00959206,0.005239913,0.9874847


0,-1.17,0.38,16.73,0.1454368,-0.009618924,0.004765999,0.9893094


0,-1.16,0.35,12.94,0.1126459,-0.009714065,0.004175368,0.9935789


0,-1.2,0.3,12.57,0.1094405,-0.01012222,0.003748499,0.9939348


0,-1.22,0.36,12.16,0.1058772,-0.01025364,0.004251359,0.9943172


0,-1.21,0.36,11.96,0.104142,-0.01017426,0.004224368,0.9945015


0,-1.12,0.28,11.7,0.1018955,-0.009473723,0.003426792,0.9947441


0,-1.13,0.25,11.46,0.09981425,-0.009593848,0.003155176,0.9949548


0,-1.13,0.22,11.17,0.09729859,-0.009627285,0.002870343,0.9952045


0,-1.13,0.22,11.02,0.09599579,-0.009631034,0.002857739,0.995331


0,-1.25,0.13,8.98,0.07826805,-0.0107858,0.001984855,0.996872


0,-1.19,0,8.3,0.07236395,-0.0103573,0.0007515057,0.9973242


0,-1.18,0,8.33,0.07262511,-0.01027007,0.0007478794,0.9973062


0,-1.23,0.06,8.39,0.07314134,-0.01066651,0.001307339,0.9972637


0,-1.12,0.15,8.45,0.07365701,-0.009650686,0.002025437,0.9972349


0,-1.23,0.15,9.63,0.08391982,-0.01058581,0.002205264,0.9964139


0,-1.23,0.15,9.63,0.08391982,-0.01058581,0.002205264,0.9964139


0,-1.24,0.16,10.28,0.08956926,-0.01065222,0.00236,0.9959209


