delta time, euler x , euler y , euler z
Min x, Max x, Min y, Max y, Min z, Max z
0.01999999,-0.53,-0.08,2.27


0.03999998,-0.54,-0.09,2.28


0.1532806,-0.54,-0.09,2.28


0.2353436,-0.54,-0.1,2.28


0.2563956,-0.54,-0.1,2.28


0.2772452,-0.54,-0.1,2.28


0.2954449,-0.54,-0.1,2.28


0.32454,-0.54,-0.1,2.28


0.3479891,-0.54,-0.1,2.28


0.367948,-0.54,-0.1,2.27


0.3956675,-0.54,-0.1,2.27


0.4165745,-0.54,-0.1,2.27


0.4341186,-0.54,-0.1,2.27


0.4593127,-0.54,-0.1,2.27


0.4774134,-0.54,-0.1,2.27


0.4898449,-0.54,-0.1,2.27


0.5125009,-0.54,-0.1,2.27


0.5393091,-0.54,-0.1,2.27


0.5602335,-0.54,-0.1,2.27


0.5794637,-0.55,-0.1,2.27


0.5916573,-0.55,-0.1,2.27


0.6152042,-0.55,-0.1,2.27


0.640173,-0.55,-0.1,2.27


0.6643262,-0.55,-0.1,2.27


0.6858608,-0.55,-0.1,2.27


0.7064692,-0.55,-0.1,2.27


0.7308365,-0.55,-0.1,2.27


0.7505334,-0.55,-0.1,2.27


0.7680138,-0.55,-0.1,2.27


0.7902313,-0.55,-0.1,2.27


0.8134249,-0.55,-0.1,2.27


0.8346074,-0.55,-0.1,2.27


0.8489531,-0.55,-0.1,2.27


0.8772112,-0.55,-0.1,2.27


0.8960571,-0.55,-0.1,2.27


0.9155926,-0.55,-0.1,2.27


0.9430004,-0.55,-0.1,2.28


0.9621822,-0.55,-0.1,2.28


0.9788452,-0.55,-0.1,2.28


0.9995164,-0.54,-0.1,2.27


1.015453,-0.54,-0.1,2.27


1.038146,-0.55,-0.1,2.27


1.064049,-0.55,-0.1,2.27


1.081999,-0.55,-0.1,2.27


1.101712,-0.55,-0.1,2.28


1.138026,-0.55,-0.1,2.27


1.170986,-0.55,-0.1,2.28


1.189676,-0.55,-0.1,2.28


1.215919,-0.55,-0.1,2.28


1.235938,-0.55,-0.1,2.28


1.261247,-0.55,-0.1,2.28


1.284866,-0.55,-0.1,2.28


1.309231,-0.55,-0.1,2.28


1.33623,-0.55,-0.1,2.28


1.356608,-0.55,-0.1,2.28


1.375117,-0.55,-0.1,2.28


1.401677,-0.55,-0.1,2.28


1.422141,-0.55,-0.1,2.28


1.450137,-0.55,-0.1,2.28


1.471972,-0.55,-0.1,2.28


1.496679,-0.55,-0.1,2.28


1.520704,-0.55,-0.1,2.28


1.546988,-0.55,-0.1,2.28


1.569782,-0.55,-0.1,2.28


1.593794,-0.55,-0.1,2.28


1.618539,-0.55,-0.1,2.28


1.639349,-0.55,-0.1,2.28


1.664172,-0.56,-0.11,2.28


1.686969,-0.56,-0.11,2.28


1.706394,-0.56,-0.11,2.28


1.728145,-0.56,-0.11,2.28


1.761034,-0.56,-0.11,2.28


1.784441,-0.56,-0.11,2.28


1.799083,-0.56,-0.11,2.28


1.833754,-0.56,-0.11,2.28


1.855676,-0.56,-0.11,2.28


1.87709,-0.56,-0.11,2.28


1.899912,-0.56,-0.11,2.28


1.924244,-0.56,-0.11,2.28


1.947361,-0.56,-0.11,2.28


1.976555,-0.56,-0.11,2.28


2.019355,-0.56,-0.11,2.28


2.050205,-0.56,-0.11,2.28


2.075046,-0.56,-0.12,2.27


2.108844,-0.56,-0.12,2.28


2.141103,-0.56,-0.12,2.28


2.15746,-0.56,-0.12,2.28


2.178277,-0.56,-0.12,2.28


2.201584,-0.56,-0.12,2.28


2.221388,-0.56,-0.12,2.28


2.246317,-0.56,-0.12,2.28


2.271177,-0.56,-0.12,2.28


2.294127,-0.56,-0.12,2.28


2.317525,-0.56,-0.12,2.28


2.332775,-0.56,-0.12,2.28


2.356702,-0.56,-0.12,2.28


2.379644,-0.56,-0.12,2.28


2.40139,-0.56,-0.12,2.28


2.419273,-0.56,-0.12,2.28


2.441551,-0.56,-0.12,2.28


2.460619,-0.56,-0.12,2.28


2.478001,-0.56,-0.12,2.28


2.488253,-0.56,-0.12,2.28


2.505315,-0.56,-0.12,2.28


2.525271,-0.56,-0.12,2.28


2.544158,-0.56,-0.12,2.28


2.560725,-0.57,-0.12,2.28


2.575722,-0.57,-0.12,2.28


2.596086,-0.57,-0.12,2.28


2.60918,-0.57,-0.12,2.28


2.631748,-0.57,-0.12,2.28


2.646225,-0.57,-0.12,2.28


2.669245,-0.57,-0.12,2.28


2.689724,-0.56,-0.12,2.28


2.708919,-0.56,-0.12,2.28


2.722625,-0.56,-0.12,2.28


2.738121,-0.56,-0.12,2.28


2.756162,-0.56,-0.12,2.28


2.775318,-0.56,-0.12,2.28


2.788986,-0.56,-0.12,2.28


2.806812,-0.6,-0.02,4.69


2.826391,-0.62,-0.07,6.45


2.839452,-0.62,-0.07,6.45


2.854072,-0.64,-0.02,9.39


2.870066,-0.64,-0.02,9.39


2.893252,-0.47,0.15,9.49


2.907243,-0.47,0.15,9.49


2.924404,-0.54,0.18,9.51


2.943073,-0.57,0.19,9.44


2.957053,-0.57,0.19,9.44


2.972174,-0.61,0.22,9.21


2.992969,-0.61,0.22,9.21


3.007814,-0.59,0.29,8.71


3.025742,-0.59,0.29,8.71


3.042715,-0.61,0.36,8.52


3.057511,-0.61,0.36,8.52


3.090008,-0.74,1.67,6.86


3.116233,-0.74,1.67,6.86


3.132508,-0.75,8.7,5.1


3.151248,-0.9,11.99,4.51


3.165866,-1.42,15.44,3.74


3.188262,-1.81,22.87,2.51


3.208746,-1.81,22.87,2.51


3.224499,-1.75,27.28,1.94


3.238558,-1.75,27.28,1.94


3.260643,-1.8,28.23,1.76


3.276734,-1.89,29.3,1.35


3.291562,-1.89,29.3,1.35


3.315904,-1.78,29.82,0.93


3.334163,-1.73,30.28,0.87


3.354711,-1.71,30.8,0.86


3.374772,-1.77,31.78,0.92


3.393111,-1.76,32.42,0.98


3.408439,-1.76,32.42,0.98


3.426345,-1.78,34.15,0.7


3.441102,-1.78,34.15,0.7


3.460203,-1.49,35.76,0.9


3.476815,-1.49,35.76,0.9


3.490815,-1.55,36.63,0.89


3.51223,-1.65,36.72,0.84


3.525877,-1.65,36.72,0.84


3.541311,-1.67,36.96,0.75


3.56085,-1.67,36.96,0.75


3.57425,-1.64,37.12,0.7


3.587904,-1.64,37.12,0.7


3.606319,-1.62,37.17,0.68


3.626693,-1.62,37.17,0.68


3.641231,-1.65,37.16,0.65


3.657017,-1.65,37.16,0.65


3.678408,-1.62,37.17,0.63


3.692152,-1.59,37.21,0.64


3.706947,-1.59,37.21,0.64


3.726633,-1.59,37.29,0.68


3.745812,-1.59,37.29,0.68


3.760012,-1.58,37.27,0.68


3.77566,-1.58,37.27,0.68


3.795909,-1.6,37.13,0.69


3.809783,-1.55,37.11,0.72


3.824031,-1.48,37.1,0.76


3.843709,-1.43,37.09,0.79


3.859458,-1.43,37.09,0.79


3.873752,-1.41,37.02,0.82


3.895965,-1.41,37.02,0.82


3.909715,-1.39,36.87,0.81


3.926896,-1.39,36.87,0.81


3.94655,-1.33,36.8,0.85


3.968472,-1.29,36.81,0.88


3.982737,-1.29,36.81,0.88


4.004714,-1.28,36.81,0.87


4.021283,-1.27,36.82,0.87


4.042543,-1.27,36.83,0.88


4.059363,-1.19,36.92,0.94


4.077955,-1.19,36.92,0.94


4.093273,-1.09,37,0.97


4.107602,-1.09,37,0.97


4.130611,-1.01,37.11,0.97


4.144179,-0.96,37.19,1.01


4.166036,-0.96,37.19,1.01


4.204335,-0.36,38.2,1.66


4.230538,-0.21,38.46,1.85


4.243658,-0.14,38.81,1.97


4.26408,0.12,39.39,2.18


4.278018,0.12,39.39,2.18


4.300018,0.19,39.44,2.24


4.314745,0.19,39.44,2.24


4.335694,0.21,39.49,2.3


4.351463,0.21,39.56,2.39


4.371522,0.21,39.56,2.39


4.388172,0.25,39.66,2.49


4.409624,0.25,39.66,2.49


4.424984,0.28,39.78,2.55


4.445055,0.27,39.81,2.53


4.459552,0.27,39.81,2.53


4.473558,0.22,39.8,2.49


4.491946,0.22,39.8,2.49


4.512938,0.15,39.69,2.28


4.527514,0.15,39.69,2.28


4.549815,0.17,39.66,2.22


4.570878,0.17,39.66,2.22


4.593884,0.17,39.66,2.22


4.621639,0.17,39.66,2.22


4.658741,0.07,39.33,2.27


4.693189,-0.02,39.22,2.26


4.722896,-0.08,39.1,2.22


4.737303,-0.08,39.1,2.22


4.753125,-0.12,39.06,2.2


4.769287,-0.12,39.06,2.2


4.78819,-0.19,38.95,2.17


4.802628,-0.24,38.85,2.13


4.820523,-0.24,38.85,2.13


4.837978,-0.28,38.8,2.11


4.85475,-0.28,38.8,2.11


4.873898,-0.34,38.71,2.03


4.893221,-0.46,38.6,1.95


4.907914,-0.46,38.6,1.95


4.922789,-0.54,38.49,1.87


4.938218,-0.54,38.49,1.87


4.958255,-0.54,38.48,1.84


4.976086,-0.54,38.48,1.84


4.994905,-0.58,38.46,1.77


5.012791,-0.59,38.46,1.75


5.023896,-0.59,38.47,1.75


5.040858,-0.59,38.47,1.75


5.063655,-0.59,38.48,1.75


5.082518,-0.59,38.45,1.76


5.093663,-0.59,38.45,1.76


5.112822,-0.58,38.45,1.78


5.133865,-0.57,38.45,1.78


5.162518,-0.59,38.46,1.75


5.189554,-0.59,38.49,1.74


5.206763,-0.59,38.49,1.74


5.227695,-0.58,38.57,1.73


5.245263,-0.58,38.57,1.73


5.258861,-0.58,38.65,1.75


5.278758,-0.58,38.65,1.75


5.297676,-0.59,38.67,1.74


5.309555,-0.58,38.67,1.75


5.325478,-0.55,38.68,1.77


5.34776,-0.53,38.68,1.79


5.365296,-0.53,38.68,1.79


5.377282,-0.51,38.71,1.81


5.397022,-0.51,38.71,1.81


5.412077,-0.5,38.75,1.82


5.427849,-0.5,38.75,1.82


5.445741,-0.49,38.77,1.83


5.467346,-0.47,38.85,1.83


5.481173,-0.47,38.85,1.83


5.504212,-0.46,38.88,1.83


5.517541,-0.46,38.88,1.83


5.537442,-0.46,38.93,1.83


5.555841,-0.45,39,1.83


5.577272,-0.45,39,1.83


5.595654,-0.46,39.04,1.84


5.60959,-0.46,39.05,1.84


5.624944,-0.45,39.05,1.84


5.657718,-0.44,39.06,1.85


5.683291,-0.44,39.06,1.85


5.696311,-0.44,39.06,1.85


5.71575,-0.44,39.06,1.85


5.737344,-0.43,39.06,1.86


5.755463,-0.43,39.06,1.86


5.772561,-0.43,39.05,1.86


5.794205,-0.43,39.03,1.86


5.81211,-0.43,39.03,1.86


5.826311,-0.41,39,1.87


5.840191,-0.41,39,1.87


5.856557,-0.41,38.99,1.86


5.876778,-0.41,38.99,1.86


5.89568,-0.45,38.97,1.83


5.909392,-0.47,38.98,1.82


5.927443,-0.48,38.98,1.81


5.945834,-0.49,38.98,1.79


5.960257,-0.49,38.98,1.79


5.975904,-0.5,38.94,1.78


5.994246,-0.5,38.94,1.78


6.013308,-0.51,38.87,1.77


6.027511,-0.51,38.87,1.77


6.042616,-0.51,38.87,1.77


6.066416,-0.53,38.76,1.77


6.08584,-0.53,38.76,1.77


6.106695,-0.54,38.76,1.77


6.141939,-0.57,38.74,1.77


6.171638,-0.59,38.73,1.76


6.188936,-0.61,38.73,1.75


6.205416,-0.61,38.73,1.75


6.225037,-0.65,38.69,1.74


6.244417,-0.66,38.67,1.73


6.258955,-0.66,38.67,1.73


6.277727,-0.67,38.66,1.72


6.294518,-0.67,38.66,1.72


6.314518,-0.7,38.64,1.73


6.329965,-0.71,38.6,1.72


6.344278,-0.7,38.56,1.72


6.365865,-0.68,38.53,1.74


6.379402,-0.68,38.53,1.74


6.394529,-0.67,38.53,1.75


6.415764,-0.67,38.53,1.75


6.429198,-0.68,38.51,1.75


6.454758,-0.7,38.49,1.75


6.469931,-0.7,38.49,1.75


6.4866,-0.71,38.49,1.77


6.508925,-0.71,38.49,1.77


6.548726,-0.72,38.43,1.8


6.560462,-0.72,38.43,1.8


6.575994,-0.77,38.32,1.78


6.592791,-0.77,38.32,1.78


6.613492,-0.85,38.07,1.72


6.627493,-0.85,38.07,1.72


6.654843,-0.88,37.94,1.68


6.679772,-1.12,37.29,1.49


6.694032,-1.29,36.51,1.29


6.709134,-1.29,36.51,1.29


6.742104,-1.48,35.51,1.08


6.768095,-1.49,34.78,1.05


6.805301,-1.52,33.89,1.06


6.829927,-1.53,32.91,1.05


6.845922,-1.47,32.35,1.13


6.859492,-1.47,32.35,1.13


6.878088,-1.46,32.09,1.19


6.896469,-1.46,32.09,1.19


6.912996,-1.65,30.48,1.11


6.942277,-1.4,28.88,1.18


6.962097,-1.35,28.02,1.23


6.9766,-1.35,28.02,1.23


6.9914,-1.36,27.29,1.18


7.007765,-1.36,27.29,1.18


7.029638,-1.03,25.16,1.45


7.044303,-1.03,25.16,1.45


7.063867,-1.22,24.18,1.4


7.092976,-1.18,23.81,1.37


7.118429,-1.14,23.63,1.37


7.147526,-1.05,23.74,1.38


7.162865,-1.05,23.74,1.38


7.177114,-1.01,23.85,1.39


7.196532,-1.01,23.85,1.39


7.215883,-0.91,24.15,1.39


7.229192,-0.87,24.35,1.39


7.250965,-0.81,24.67,1.4


7.270538,-0.73,25.3,1.4


7.293219,-0.72,25.54,1.39


7.309674,-0.72,25.54,1.39


7.331047,-0.75,25.53,1.37


7.356827,-0.76,25.3,1.39


7.36785,-0.76,25.3,1.39


7.385984,-0.79,24.76,1.45


7.405474,-0.79,24.76,1.45


7.426548,-0.99,23.45,1.53


7.445699,-0.94,22.79,1.51


7.460012,-0.94,22.79,1.51


7.482774,-1,21.55,1.52


7.496452,-1,21.55,1.52


7.511519,-0.95,20.42,1.68


7.533445,-0.99,19.99,1.69


7.559875,-1.07,19.01,1.72


7.578523,-1.07,19.01,1.72


7.593963,-1.06,18.73,1.73


7.613785,-1.06,18.73,1.73


7.643031,-1.09,18.27,1.77


7.675357,-1.1,17.86,1.82


7.689853,-1.1,17.46,1.84


7.723949,-1.1,17.19,1.88


7.753914,-1.09,17.13,1.9


7.778978,-1.06,17.06,1.91


7.797149,-1.06,17.06,1.91


7.815518,-1.04,17.1,1.91


7.828434,-1.04,17.1,1.91


7.844925,-1.04,17.1,1.91


7.860154,-1.02,16.94,1.94


7.883825,-1.02,16.94,1.94


7.895893,-0.99,16.85,1.98


7.911376,-0.99,16.85,1.98


7.930031,-0.97,16.78,2.01


7.945246,-0.97,16.78,2.01


7.966371,-1.01,16.54,2.03


7.99328,-1.01,16.33,2.03


8.006962,-1.01,16.33,2.03


8.028738,-1.01,16.14,2.02


8.047136,-1.02,15.98,2.03


8.062536,-1.02,15.98,2.03


8.080275,-1.01,15.49,2.01


8.101941,-1.01,15.49,2.01


8.113317,-0.92,14.93,1.91


8.129833,-0.9,14.48,1.88


8.148741,-0.9,14.48,1.88


8.17374,-0.86,14.13,1.88


8.215118,-0.83,14,1.87


